case_id,profile,attempt_id,stream,sha256,frames,sample_rate_hz,subtype,gain,status,exact_projection,threshold_fitting
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,focus0_asr_raw,a90cdf15d6380b55029d1f276179f8f0aabe76f87542e6bb670ff81e485e0403,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,focus1_asr_raw,b4d775da6a35361e727e5ae5347333b409494be949e338b341509788b5d5cc93,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,scan_asr_raw,ae70cccecabf11c56821eb0000b9227783c63b52d887443fd7970a12747e70b8,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,scan_pp_raw,e2d918cd92a1d5c72f9b3b933791a8c76a969346a45b8b359474f259f91710db,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,auto_asr_raw,ec2e4eaae7d58c6915ad4addff0852902d80295f5bbc41791234ece140885b7d,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,auto_pp_raw,14a7e2167004272bffa6c8d367bc0074397e8ba7674c421848c799b484d4fcaa,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,focus0_asr_raw,1b8e6c64a35b80f7313b46709bfc0d648eece958562e8c04c37829a501e4bf12,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,focus1_asr_raw,5851ce4974d058f045688287cc65c1569fdb96300156b1d0f14fadf5b5e08195,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,scan_asr_raw,cbdbe2017a099ce1cd5e9c345283d31dc7cc5664edc9733755c90ac3c72d4d28,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_ABA,P_SCAN6,QUAL_SCAN_04,scan_pp_raw,04e1fdd573a6171b0287b45253e68057a5d761933712b51e37432c84c7f7abb5,379127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,auto_asr_raw,546e64c4cda304ba7608be1e21c4e2a4c4f460435ef4388a03920ba5e167fc50,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,auto_pp_raw,c7fcef19cac5d0c462ea970169def07a426f3b3e462d3fe585ec4b99bfb80b5a,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,focus0_asr_raw,9d09ccc1c6e98b072485bc9565df8234e089e72da33a5bd84e7af5c7e772c342,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,focus1_asr_raw,8dd1177bc56d1963a346ed7b12c7ef11368f54413755ad05f1bd6f55cd62305e,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,scan_asr_raw,006909458a4ba43cf64093f8b38edc018e4ed46478bf542af37d137f86b782a7,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap,P_SCAN6,QUAL_SCAN_05,scan_pp_raw,598572816ec83f0143bd5d678ad388f65475cd7bffd701c322c22adec6027a8f,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_SCAN6,QUAL_SCAN_06,auto_asr_raw,5bbbd9b8fe9665d808c9b30b24788326203e0f25424c93a4ff7454eb5b9dcb0c,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_SCAN6,QUAL_SCAN_06,auto_pp_raw,28d2b458ca2fb0ea09ec3c60e1c65c6400b96b2e422724c08a5902a1b128dc1c,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_SCAN6,QUAL_SCAN_06,focus0_asr_raw,7c93faa88406451505c637c878861f3db0990bf3ac880a19c62c8c966017bbde,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_SCAN6,QUAL_SCAN_06,focus1_asr_raw,17ce1a4c90bce5729b7fbb78d0355e167a5c0b43dde306d3029026080f6f3d02,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C_overlap_source_swap,P_SCAN6,QUAL_SCAN_06,scan_asr_raw,61a51858a09fb9eca2a421eb3dc59a2265dffc5f75a91dd26ad6696caa77deb5,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
