job_id,case_id,tap,status,reference_class,audio_sha256,cache_key,source_frames,delivered_frames,source_seconds,elapsed_seconds,session_event_rows,archive_event_rows,clock_rows,transcript_event_rows,latest_utterances,caption_rows,unique_word_spans,duplicate_span_ids,span_speaker_revisions_after_first,span_missing_first_label,span_missing_committed_label,exact_word_times,observed_clock_order_violations,raw_asr_fields,formatted_final_fields,raw_formatted_differing_fields,optional_corrected_fields,text_partial_events,text_final_events,label_revision_decisions,asr_loads_process_cumulative,speaker_loads_process_cumulative,source_history_reset,private_gallery_queries,wer_reference_words,wer_edits,wer,wer_status
N1_BASELINE_S45_03_16_O0,S45_03_16,O0,COMPLETE,complete_nonoverlap,2d50779d27fb02d310b61b1e78c24679522f1e526bc6d9e62f9fae4fcc36da53,e078d7b697c8142ae37dfacdc930b15bc080b9fabf11eefdf290c9648b886946,715127,715127,44.6954375,45.327999999999975,493,2563,526,1,1,17,26,0,0,0,0,0,0,17,17,17,0,28,1,18,1,1,True,0,26,2,0.07692307692307693,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_16_O1,S45_03_16,O1,COMPLETE,complete_nonoverlap,f44646b09ffa694b1e689dd0f226dbbfa013e0d6ebc4dca34341bfec07307207,04573597b801c8bea768b9e642251a8d7450c6757c36e29666c334ecdb70c427,715127,715127,44.6954375,45.4380000000001,266,2574,552,1,1,15,26,0,0,0,0,0,0,15,15,15,0,29,1,17,1,1,True,0,26,3,0.11538461538461539,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_18_O0,S45_03_18,O0,COMPLETE,complete_nonoverlap,cc86667245e94cdb516c63d0b32f6ff8e99c70f40d7231e68ac418f1270cab31,26be7d6326fee28f4df7eed55211bc46cbd110de1a03389d4c3ea81f2ee6278e,715127,715127,44.6954375,45.297000000000025,560,2369,291,1,1,9,10,0,0,0,0,0,0,9,9,9,0,12,1,5,1,1,True,0,11,2,0.18181818181818182,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_18_O1,S45_03_18,O1,COMPLETE,complete_nonoverlap,02dac291c3b31744bb5eb7fe4d9d19ed0d39930b2fa058547c1a7f693adf1403,9671ef68ae1e3274be3a017a8c0497a3d3f108b2d65dd90d44e305e1f756c302,715127,715127,44.6954375,45.28099999999995,106,2403,329,1,1,10,10,0,0,0,0,0,0,10,10,10,0,14,1,10,1,1,True,0,11,2,0.18181818181818182,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_04_09_O0,S45_04_09,O0,COMPLETE,complete_overlap,cb32f5a833ab9f840f21688d77f08415cab645b53e47ac238c302a904b5864b4,ca1aa4cc395170f034ae4f1ffe02355d9dbb42dbca201d051057c3f10c2f9f69,715127,715127,44.6954375,45.3130000000001,316,2552,531,2,2,11,27,0,0,0,0,0,0,11,11,11,0,25,2,14,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
N1_BASELINE_S45_04_09_O1,S45_04_09,O1,COMPLETE,complete_overlap,d3e18d1fdac8f902918a71508ca444b62e39fc7179a90433327f469d8a33c440,6b74923d5248d69cc9560d20954c91136d37f8758bdf82abf41201ecdf5deaef,715127,715127,44.6954375,45.26499999999987,540,2559,549,2,2,15,29,0,0,0,0,0,0,15,15,15,0,24,2,17,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
N1_BASELINE_S45_04_13_O0,S45_04_13,O0,COMPLETE,complete_overlap,1ffe73c8a408be2f3d7387e9de4de1794e4ae3b8e126d12262c0c070496343a0,e2171c685f452ce0fb189fbfbfe7d0e755346d5c12cb84735c809bfbee481807,715127,715127,44.6954375,45.297000000000025,295,2717,749,2,2,14,38,0,0,0,0,0,0,14,14,14,0,40,2,16,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
N1_BASELINE_S45_04_13_O1,S45_04_13,O1,COMPLETE,complete_overlap,73ea1ceba9877460f0f05073b67263b7f452599250b34915cc40f65dbe4debb0,6bdcf5d4d2a96083c67eac431e2e94ebccefd02fc1dcba817a68ae22c2cc708c,715127,715127,44.6954375,45.297000000000025,417,2737,787,2,2,17,37,0,0,0,0,0,0,17,17,17,0,41,2,20,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
N1_BASELINE_S45_04_16_O0,S45_04_16,O0,COMPLETE,complete_overlap,d53e9b111fc3ce883840193d484a387669f0f844ce030f7eea42e60358291e27,47d7dabc44348b4ef5c5cb89d82046f8d031dcd91fc508fedb52a02b18e3f3ea,715127,715127,44.6954375,45.327999999999975,240,2595,599,2,2,15,26,0,0,0,0,0,0,15,15,15,0,28,2,15,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
N1_BASELINE_S45_04_16_O1,S45_04_16,O1,COMPLETE,complete_overlap,b5a6f4e5fcf5c5f6e9d635b89b6510bb7818f26c023bfb56427fd1a1cfddea68,3d2f765866f23901545d1582135ae91eb30c8b6bfaf4d948903eeca4afc2bf0e,715127,715127,44.6954375,45.297000000000025,190,2587,594,2,2,14,26,0,0,0,0,0,0,14,14,14,0,27,2,16,1,1,True,0,,,,OMITTED_NEEDS_DECLARED_SPEAKER_PERMUTATION_CONVENTION
